ID,Question,Answer
66,When can I expect my refund?,"When a reservation is cancelled the same day it was booked, funds for the airline portion are not collected. Any pending charges you may have seen would have been a ""pending hold"" for verification. These funds will return to your available credit and will not reflect as a refund. This process normally takes from 3-7 business days, depending on your banking institutions procedures. Please note: Some prepaid credit card companies will hold pending authorizations for up to 30 days. If the airline rules allow for cancellation the day after booking, funds for the airline portion will be refunded within 7-14 business days. It will depend upon the airline(s) and your banking institution's policies. At times the refund will post before the charge is processed or may not appear on your current statement. Please contact your bank to verify the refund was received. "
67,"I did not request a refund, why am I being sent an email stating that I have received one?",These refunds are typically for seat assignment requests that could not be fulfilled by the airline or during a quality check we detected an additional fare savings prior to ticketing your reservation. This refund does not affect your airline ticket purchase.
68,Why do I have mulitple charges on my credit card from Travelomind?,"This occurs when multiple airlines or passengers are booked in a reservation. You will see a charge for each ticket processed separately. Any service fees, taxes or additional services may also show as separate charges with the description of Travelomind. When added together these charges should total the amount you were quoted."
69,Why do I have duplicate charges for the same trip on my credit card?,"If you are certain there are posted duplicate charges from Travelomind, please contact the Billing Department for assistance at1-844-327-2373 or Chat on Facebook Messenger."
70,Why was I charged more than quoted?,"Confirm with your bank whether the charges in question have posted or are pending to your account. At the time of reservation a ""pending charge"" is placed on your account for the full amount. The bank/credit card company then puts a ""hold"" on that dollar amount, until the transaction either posts or is cleared. With a successful transaction, the charge will typically post to the account within 2-3 business days, at that time the money will be deducted from your account, and the ""hold"" will be released. At times the “pending hold” can show on your account after the charge has posted. Please allow time for the “pending hold” to return to your available credit. Each bank/credit card company has their own time lines to release pending transactions. "
71,Flights,• Most tickets issued through Travelomind will have the description of NY or New York                                                                                                                                                               • Any service fees/taxes or additional services may also show as separate charges with the description of:                                                                                                 •Travelomind
72,I want to confirm my reservation.,"Please click on the ""Check My Booking"" link on the top of the page or click here to view your booking status and details. Once you are on the ""Check My Booking"" page, enter the email address used while creating your booking and the last name of the passenger. Once the above details are entered, you will be able to view the last three bookings created by you. Please select the booking you need to view by clicking on ""Details"". This will display the ""Booking Receipt and Confirmation"" page for the selected booking. You may choose to email the itinerary to yourself by clicking on the ""Email Itinerary"" link on the top of the page.                                                                                                                                                         In case you do not find any results for your search, please verify the information entered or please contact our Customer Service team for assistance at1-844-327-2373 or Chat on Facebook Messenger.. 
Please re-confirm your reservation at least 48-72 hours prior to departure with the Airlines directly. Once the above details are entered, you will be able to view the last three bookings created by you. Please select the booking you need to view by clicking on ""Details"". This will display the ""Booking Receipt and Confirmation"" page for the selected booking. You may choose to email the itinerary to yourself by clicking on the ""Email Itinerary"" link on the top of the page. In case you do not find any results for your search, please verify the information entered or please contact our Customer Service team for assistance at1-844-327-2373 or Chat on Facebook Messenger.. Please re-confirm your reservation at least 48-72 hours prior to departure with the Airlines directly."
73,What are the credit card transaction and currency conversion fees?,"Unless otherwise specified, all prices are displayed and quoted in U.S. dollars (USD) and all charges made are in U.S. dollars (USD). If you are using a non-U.S. credit card, you should check with your bank for details on currency conversion charges. Your non U.S. credit card may charge you a fee for processing purchases made in U.S. dollars."
74,The billing address for my credit card is outside the U.S. or Canada. Can I book with you?,"We currently process reservations for customers with billing addresses in 98 countries worldwide. When adding your credit card details for payment, choose ""Other Countries"" and select your country from the list. If your country is not listed callplease contact our Customer Service team for assistance at1-844-327-2373 or Chat on Facebook Messenger."
75,Why have I not received my refund?,"Any refunds requested after 48-hours of purchase are based solely upon the airline(s) rules. If approved, the refund will generally take 1-2 billing statement cycles to reflect on your account. In some exceptional cases refunds may take longer than originally anticipated."
76,What are your cancellation fees?,"All airline tickets are 100% non-refundable. In certain cases where the airline may allow cancellations, a credit may be valid towards a future ticket purchase by the same traveler with travel on the same airline. An applicable penalty and a fare difference (if any), will be added in these cases.  A cancellation fee starting from $50 per person per ticket must be paid to us at the time of cancelling the booking; we retain this fee. The credit will be held for a limited time period, please ask the customer service agent for the specific date by when you must use this credit or you will lose the credit amount."
77,I have a pending charge on my credit card for a transaction I cancelled. When will the hold for this amount be released back to my credit card?,"Generally, we are able to release authorization codes directly with your bank if the transaction was made and cancelled on the same calendar day. There are some exceptions to this depending on your financial institution and the type of ticket that was purchased."
