ID,Question,Answer,,,,,,,,
1,"Why does your website show the message ""Sold Out"" when the flight shows available on the flight listing page?","Airfares can change minute by minute based on demand and availability. Between the time of your flight search and actual booking, seat inventory in a particular booking class (fare) may sell out. Airlines then their available inventory at a higher price: ""We monitor these changes closely and make every effort to keep inventory and fares in our displays as current as possible.",,,,,,,,
2,How do I request a special meal for my flight?,Most airlines now charge for in-flight meals or no longer offer a meal service. You have an option to place a meal request when you purchase tickets online or you can call the airline directly. Special meal requests must be done at least 24-hours prior to the scheduled departure. These requests are not guaranteed and are at the discretion of the airline.,,,,,,,,
3,"What is ""Price Match Promise""?","When booking with Travelomind.com, we want you to be confident that you have found a great deal. That’s why, if you see a lower price (including taxes and fees) for the same flight itinerary offered and available for booking on a Major OTA Competitor’s site same day of the booking up to 10 PM, we will match that lower price by refunding the difference in price, or if you prefer, we will cancel your booking with us for a full refund. That’s our Price Match Promise (“PMP”). Now here’s the fine print: The same itinerary means that each and every element of each offer matches; airline(s), flight number(s), itinerary, date(s), number of customers and seat type. “Offered and available for booking” means that the itinerary you found is actually live on a Major OTA Competitor’s site and available to be booked by the general public at the time you contact us, as determined by our customer service representatives. The PMP does not apply to fares offered on membership program websites, corporate discounts or rates; group, charter, rewards program, incentive, meeting, convention, or consolidator fares; or fares available only by using a coupon or other promotion not offered to the general public. Military, student, government, tour operator, bulk, vacation package or ""Web Only"" fares are excluded. The PMP does not apply to “opaque” tickets (where the airline booking details are unknown until after purchase) or tickets issued under a “bidding” or “auction” model. Fare errors are also excluded.",,,,,,,,
4,I am receiving an error message that my credit card information does not match what is in my credit card company's records.,"Your name, credit card number, address, and zip code must be entered exactly how it appears on your credit card statement. Please contact your credit card company and confirm the information you're entering is exactly the same as they have in their records. Alternatively, you may try to book your reservation with another credit card. If you do not have another credit card, please contact our Customer Service team for assistance at1-844-327-2373 or Chat on Facebook Messenger.",,,,,,,,
5,How do I book an infant fare?,"Infants, under the age of 24 months, traveling within the United States travel at no charge as long as they are seated on an adult's (over 18 years) lap. Only one infant is allowed to travel as a lap child per adult (over 18 years). Infants traveling internationally will be required to pay a percentage of the adult fare (in most circumstances), plus taxes and carry a paper ticket even though they are traveling on the adult's lap. Please contact our Customer Service team at 1-844-327-2373 or Chat on Facebook Messenger to book an infant ticket. Infant tickets cannot be purchased online.",,,,,,,,
6,Can you email a quote for flights?,"As flights fill up throughout the day, the airline's fares change frequently. We are, unable to quote any fares via email. Fares are not guaranteed until ticketed. You may also contact our Customer Service team at1-844-327-2373 or Chat on Facebook Messenger.",,,,,,,,
7,How do I select my seats?,"You can request seat assignments at the time of booking. When submitting traveler details during booking process, please select ""Seat Preference"" in the additional requests area If you have already completed your booking, please click the"" Request Seat"" link which appears under the flight details on your itinerary confirmation e-mail. If pre-assigned seating is available, a seat map will appear. Although we pass your seating request to the respective airlines (wherever applicable), we cannot guarantee that the request will be honored. Please note: •",Some airlines now charge for seat assignments and many airlines restrict pre-assigning of seats. Some airlines may only assign seats 90 days prior to flight departure. •,"Bulk head and emergency exit row seating are controlled by the airline and cannot be pre-assigned. These seats may be blocked by the airlines and held for check-in at the airport on day of departure. Please click here for a list of airline phone numbers. If you are unable to assign your seats, please contact our Customer Service team at 1-844-327-2373 or Chat on Facebook Messenger.",,,,,,
8,Why did the fare increase when I tried to book my flight?,"Airfares can change minute by minute based on demand and availability. Between the time of your flight search and actual booking, seat inventory in a particular booking class (fare) may sell out. Airlines then offer their available inventory at a higher price: We monitor these changes closely and make every effort to keep inventory and fares in our displays as current as possible.",,,,,,,,
9,Can I call Travelomind directly to make a booking?,"Yes. Travelomind offers phone assistance 24-hours a day, 7 days a week, 365 days a year to meet your travel needs. Please contact our Customer Service team at 1-844-327-2373 or Chat on Facebook Messenger.",,,,,,,,
10,Can I make reservations for last minute travel?,"Some bookings may require up to three business days to process, therefore you may not be able to book last minute travel online. However you may contact our Customer Service team at1-844-327-2373 or Chat on Facebook Messenger.",,,,,,,,
